study,group,n,mean_ab_diff,sd_ab_diff,experience
"May et al. (2011, Experiment 1)",Meditation,13,0.023076922923077,0.144371726104772,novice
"May et al. (2011, Experiment 1)",Control,14,0.041208758071429,0.178953009126429,novice
