study,group,n,mean_ab,sd_ab,experience
"May et al. (2011, Experiment 2)",Meditation,11,0.104895105,0.096676899017176,novice
"May et al. (2011, Experiment 2)",Control,14,0.218406593357143,0.157429992402501,novice
